| Name    | Frequency (low) | Frequency (high) | URL                                             |
|         | GHz             | GHz              |                                                 |
 SWAG-low   21.2              23.2              https://sites.google.com/site/atcaswag/swag-setup
 SWAG-high  23.2              25.6              https://sites.google.com/site/atcaswag/swag-setup
